0	12	132	791.5
1	9.19	109.5	1044.9
2	12.27	167.25	1275.75
3	20.69	132.5	1425.9
4	26.82	164.25	1509.65
5	27.35	162	1511.9
6	13.81	175	1498.9
7	17.31	166.75	1420.55
8	16.42	135.5	1422.9
9	9.83	122.75	1551.15
10	8.63	96.5	1721.7
11	8.87	87.75	1412.95
12	8.35	125.25	1173.45
13	16.44	122.75	973.95
14	16.19	106	817.5
15	8.87	158.75	418.45
16	8.65	146.25	257.75
17	8.11	150	225.2
18	8.25	133	242.2
19	8.1	158.5	245.5
20	8.14	214.25	218.65
21	8.13	251.25	181.65
22	8.34	312	120.9
23	9.35	376.5	287.3
