0	12	79.5	844
1	9.19	118.5	1035.9
2	12.27	102.25	1340.75
3	20.69	115	1443.4
4	26.82	138.5	1535.4
5	27.35	179.25	1494.65
6	13.81	149	1524.9
7	17.31	135	1452.3
8	16.42	150.25	1408.15
9	9.83	153.75	1520.15
10	8.63	172.5	1645.7
11	8.87	121	1379.7
12	8.35	124	1174.7
13	16.44	171.25	925.45
14	16.19	201.5	722
15	8.87	174.25	402.95
16	8.65	148	256
17	8.11	120.75	254.45
18	8.25	136	239.2
19	8.1	126	278
20	8.14	152.25	280.65
21	8.13	295	137.9
22	8.34	309.75	123.15
23	9.35	333	330.8
