0	12	126.5	797
1	9.19	146	1008.4
2	12.27	116.75	1326.25
3	20.69	147	1411.4
4	26.82	182	1491.9
5	27.35	129.75	1544.15
6	13.81	114.75	1559.15
7	17.31	158.5	1428.8
8	16.42	182	1376.4
9	9.83	137.75	1536.15
10	8.63	202.5	1615.7
11	8.87	185.25	1315.45
12	8.35	153.5	1145.2
13	16.44	124.75	971.95
14	16.19	135.25	788.25
15	8.87	147.25	429.95
16	8.65	145.5	258.5
17	8.11	155	220.2
18	8.25	144	231.2
19	8.1	168	236
20	8.14	143	289.9
21	8.13	195.25	237.65
22	8.34	261.5	171.4
23	9.35	304.5	359.3
